gen,strategy,rms,max_pct,noble_rms,halogen_rms,mono_breaks,n_above_20,elapsed_s,is_best
344,Refine,0,0,0,0,0,0,0.502867,0
345,Block,0,0,0,0,0,0,0.34122,0
346,Shell,0,0,0,0,0,0,0.350963,0
347,Weighted,0,0,0,0,0,0,0.35825,0
348,Fresh,0,0,0,0,0,0,0.322502,0
349,Explore,0,0,0,0,0,0,0.325531,0
350,Refine,0,0,0,0,0,0,0.492384,0
351,Block,0,0,0,0,0,0,0.345095,0
352,Shell,0,0,0,0,0,0,0.340763,0
353,Weighted,0,0,0,0,0,0,0.331995,0
354,Fresh,0,0,0,0,0,0,0.339382,0
355,Explore,0,0,0,0,0,0,0.322088,0
356,Refine,0,0,0,0,0,0,0.49921,0
357,Block,0,0,0,0,0,0,0.341559,0
358,Shell,0,0,0,0,0,0,0.33888,0
359,Weighted,0,0,0,0,0,0,0.318856,0
360,Fresh,0,0,0,0,0,0,0.342289,0
361,Explore,0,0,0,0,0,0,0.325306,0
362,Refine,0,0,0,0,0,0,0.510335,0
363,Block,0,0,0,0,0,0,0.341412,0
364,Shell,0,0,0,0,0,0,0.342586,0
365,Weighted,0,0,0,0,0,0,0.329512,0
366,Fresh,0,0,0,0,0,0,0.336705,0
367,Explore,0,0,0,0,0,0,0.329283,0
368,Refine,0,0,0,0,0,0,0.500291,0
369,Block,0,0,0,0,0,0,0.340889,0
370,Shell,0,0,0,0,0,0,0.350453,0
371,Weighted,0,0,0,0,0,0,0.335775,0
372,Fresh,0,0,0,0,0,0,0.358055,0
373,Explore,0,0,0,0,0,0,0.30842,0
374,Refine,0,0,0,0,0,0,0.509867,0
375,Block,0,0,0,0,0,0,0.344885,0
376,Shell,0,0,0,0,0,0,0.364861,0
377,Weighted,0,0,0,0,0,0,0.330782,0
378,Fresh,0,0,0,0,0,0,0.315104,0
379,Explore,0,0,0,0,0,0,0.331972,0
380,Refine,0,0,0,0,0,0,0.494927,0
381,Block,0,0,0,0,0,0,0.340148,0
382,Shell,0,0,0,0,0,0,0.338266,0
383,Weighted,0,0,0,0,0,0,0.327539,0
384,Fresh,0,0,0,0,0,0,0.308306,0
385,Explore,0,0,0,0,0,0,0.318752,0
386,Refine,0,0,0,0,0,0,0.508296,0
387,Block,0,0,0,0,0,0,0.345299,0
388,Shell,0,0,0,0,0,0,0.339001,0
389,Weighted,0,0,0,0,0,0,0.333104,0
390,Fresh,0,0,0,0,0,0,0.321629,0
391,Explore,0,0,0,0,0,0,0.343461,0
392,Refine,0,0,0,0,0,0,0.503893,0
393,Block,0,0,0,0,0,0,0.343892,0
394,Shell,0,0,0,0,0,0,0.342227,0
395,Weighted,0,0,0,0,0,0,0.324636,0
396,Fresh,0,0,0,0,0,0,0.332712,0
397,Explore,0,0,0,0,0,0,0.315683,0
398,Refine,0,0,0,0,0,0,0.504814,0
399,Block,0,0,0,0,0,0,0.342668,0
400,Shell,0,0,0,0,0,0,0.338914,0
401,Weighted,0,0,0,0,0,0,0.354385,0
402,Fresh,0,0,0,0,0,0,0.315101,0
403,Explore,0,0,0,0,0,0,0.322611,0
404,Refine,0,0,0,0,0,0,0.49276,0
405,Block,0,0,0,0,0,0,0.351702,0
406,Shell,0,0,0,0,0,0,0.336434,0
407,Weighted,0,0,0,0,0,0,0.328034,0
408,Fresh,0,0,0,0,0,0,0.342266,0
409,Explore,0,0,0,0,0,0,0.325282,0
410,Refine,0,0,0,0,0,0,0.515178,0
411,Block,0,0,0,0,0,0,0.344541,0
412,Shell,0,0,0,0,0,0,0.352368,0
413,Weighted,0,0,0,0,0,0,0.340608,0
414,Fresh,0,0,0,0,0,0,0.340093,0
415,Explore,0,0,0,0,0,0,0.313121,0
416,Refine,0,0,0,0,0,0,0.497665,0
417,Block,0,0,0,0,0,0,0.341711,0
418,Shell,0,0,0,0,0,0,0.343765,0
419,Weighted,0,0,0,0,0,0,0.318655,0
420,Fresh,0,0,0,0,0,0,0.316106,0
421,Explore,0,0,0,0,0,0,0.309504,0
422,Refine,0,0,0,0,0,0,0.497673,0
423,Block,0,0,0,0,0,0,0.345092,0
424,Shell,0,0,0,0,0,0,0.338879,0
425,Weighted,0,0,0,0,0,0,0.335631,0
426,Fresh,0,0,0,0,0,0,0.330035,0
427,Explore,0,0,0,0,0,0,0.307909,0
428,Refine,0,0,0,0,0,0,0.523736,0
429,Block,0,0,0,0,0,0,0.358903,0
430,Shell,0,0,0,0,0,0,0.349368,0
431,Weighted,0,0,0,0,0,0,0.351957,0
432,Fresh,0,0,0,0,0,0,0.339051,0
433,Explore,0,0,0,0,0,0,0.31673,0
434,Refine,0,0,0,0,0,0,0.5237,0
435,Block,0,0,0,0,0,0,0.356321,0
436,Shell,0,0,0,0,0,0,0.343324,0
437,Weighted,0,0,0,0,0,0,0.331355,0
438,Fresh,0,0,0,0,0,0,0.327997,0
439,Explore,0,0,0,0,0,0,0.335238,0
440,Refine,0,0,0,0,0,0,0.501992,0
441,Block,0,0,0,0,0,0,0.337425,0
442,Shell,0,0,0,0,0,0,0.358797,0
443,Weighted,0,0,0,0,0,0,0.309,0
444,Fresh,0,0,0,0,0,0,0.345949,0
