step,bead_id,x,y,z,vx,vy,vz,rho,C,P2,rho_hat,P2_hat,eta,target_f,g_steric,g_elec,g_disp,Fx_drag,Fy_drag,Fz_drag,Fx_body,Fy_body,Fz_body,Fx_grad,Fy_grad,Fz_grad
53,0,75.276372,0.000000,-146.666985,0.357444,0.000000,-0.742256,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00143302,0.00000000,0.00741316,0.00000000,0.00000000,-0.01000000,-0.00113466,-0.00000000,0.00221075
54,0,77.067320,0.000000,-150.382968,0.358901,0.000000,-0.744087,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00141811,0.00000000,0.00743197,0.00000000,0.00000000,-0.01000000,-0.00113347,-0.00000000,0.00221177
55,0,78.865383,0.000000,-154.107857,0.360291,0.000000,-0.745822,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00140387,0.00000000,0.00744978,0.00000000,0.00000000,-0.01000000,-0.00113237,-0.00000000,0.00221272
56,0,80.670234,0.000000,-157.841184,0.361618,0.000000,-0.747465,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00139030,0.00000000,0.00746665,0.00000000,0.00000000,-0.01000000,-0.00113135,-0.00000000,0.00221362
57,0,82.481559,0.000000,-161.582504,0.362882,0.000000,-0.749021,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00137735,0.00000000,0.00748264,0.00000000,0.00000000,-0.01000000,-0.00113040,-0.00000000,0.00221447
58,0,84.299057,0.000000,-165.331397,0.364088,0.000000,-0.750496,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00136500,0.00000000,0.00749778,0.00000000,0.00000000,-0.01000000,-0.00112952,-0.00000000,0.00221526
59,0,86.122442,0.000000,-169.087463,0.365238,0.000000,-0.751893,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00135323,0.00000000,0.00751213,0.00000000,0.00000000,-0.01000000,-0.00112869,-0.00000000,0.00221601
60,0,87.951441,0.000000,-172.850325,0.366335,0.000000,-0.753216,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00134200,0.00000000,0.00752573,0.00000000,0.00000000,-0.01000000,-0.00112793,-0.00000000,0.00221671
61,0,89.785792,0.000000,-176.619627,0.367380,0.000000,-0.754470,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00133130,0.00000000,0.00753860,0.00000000,0.00000000,-0.01000000,-0.00112722,-0.00000000,0.00221738
62,0,91.625245,0.000000,-180.395029,0.368377,0.000000,-0.755658,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00132109,0.00000000,0.00755080,0.00000000,0.00000000,-0.01000000,-0.00112656,-0.00000000,0.00221800
