step,bead_id,x,y,z,vx,vy,vz,rho,C,P2,rho_hat,P2_hat,eta,target_f,g_steric,g_elec,g_disp,Fx_drag,Fy_drag,Fz_drag,Fx_body,Fy_body,Fz_body,Fx_grad,Fy_grad,Fz_grad
7,6,6.831368,2.405444,-2.054629,0.237836,0.001133,-0.002235,1.018495,5.0000,0.259129,0.101849,0.506086,0.053346,0.303968,1.016004,0.989331,1.042676,0.00515755,-0.00001118,0.00002127,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
7,7,6.585792,2.023130,2.247318,0.225755,0.001564,0.002568,1.088241,5.0000,-0.007344,0.108824,0.328437,0.039438,0.218631,1.011831,0.992112,1.031551,0.00488958,-0.00001572,-0.00002446,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
8,0,-0.546712,-2.411015,-2.495858,0.090372,-0.001084,-0.001922,0.814654,5.0000,-0.234174,0.081465,0.177217,0.032754,0.129341,1.009826,0.993449,1.026203,0.00172727,0.00001093,0.00001850,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
8,1,0.135807,-2.140125,2.033659,0.099067,-0.001901,0.002055,1.071823,5.0000,-0.032684,0.107182,0.311544,0.039550,0.209363,1.011865,0.992090,1.031640,0.00191494,0.00001927,-0.00001975,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
8,2,3.494558,2.339934,-2.367811,0.256583,0.001526,-0.002757,1.301238,7.0000,0.025657,0.130124,0.350438,0.048924,0.240281,1.014677,0.990215,1.039139,0.00489533,-0.00001463,0.00002641,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
8,3,3.385897,2.134466,1.963353,0.248387,0.002595,0.002525,1.446483,7.0000,0.165207,0.144648,0.443471,0.059961,0.294060,1.017988,0.988008,1.047969,0.00476824,-0.00002500,-0.00002420,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
8,4,4.275038,-2.547263,-2.575510,0.088663,-0.001355,-0.002164,1.189052,7.0000,-0.173653,0.118905,0.217565,0.034053,0.168235,1.010216,0.993189,1.027242,0.00160723,0.00001288,0.00002071,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
8,5,4.277560,-2.301438,1.953226,0.099294,-0.002457,0.001908,1.440897,7.0000,-0.272429,0.144090,0.151714,0.030357,0.147902,1.009107,0.993929,1.024286,0.00175143,0.00002359,-0.00001822,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
8,6,8.085780,2.411181,-2.066347,0.263283,0.001149,-0.002441,0.931714,5.0000,0.259129,0.093171,0.506086,0.059426,0.299629,1.017828,0.988115,1.047541,0.00490236,-0.00001147,0.00002344,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
8,7,7.776566,2.030911,2.260763,0.249941,0.001527,0.002797,0.996248,5.0000,-0.007344,0.099625,0.328437,0.043749,0.214031,1.013125,0.991250,1.034999,0.00464936,-0.00001556,-0.00002689,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
9,0,-0.073853,-2.416391,-2.505830,0.098552,-0.001059,-0.002058,0.744279,5.0000,-0.234174,0.074428,0.177217,0.035052,0.125823,1.010515,0.992990,1.028041,0.00163789,0.00001075,0.00001994,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
9,1,0.654014,-2.149496,2.044333,0.107974,-0.001831,0.002206,0.971220,5.0000,-0.032684,0.097122,0.311544,0.043619,0.204333,1.013086,0.991276,1.034895,0.00181409,0.00001874,-0.00002135,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
9,2,4.838082,2.347877,-2.382174,0.280256,0.001646,-0.002976,1.216427,7.0000,0.025657,0.121643,0.350438,0.053544,0.236040,1.016063,0.989291,1.042835,0.00466083,-0.00001589,0.00002873,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
9,3,4.686651,2.147917,1.976500,0.271372,0.002776,0.002723,1.366536,7.0000,0.165207,0.136654,0.443471,0.065642,0.290062,1.019693,0.986872,1.052514,0.00454641,-0.00002690,-0.00002630,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
9,4,4.738911,-2.554378,-2.586797,0.096653,-0.001486,-0.002343,1.137095,7.0000,-0.173653,0.113709,0.217565,0.037301,0.165637,1.011190,0.992540,1.029841,0.00151788,0.00001423,0.00002257,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
9,5,4.796934,-2.314217,1.963193,0.108182,-0.002649,0.002071,1.352695,7.0000,-0.272429,0.135269,0.151714,0.033150,0.143492,1.009945,0.993370,1.026520,0.00164703,0.00002556,-0.00001993,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
9,6,9.464203,2.416937,-2.079035,0.287472,0.001145,-0.002623,0.834819,5.0000,0.259129,0.083482,0.506086,0.065237,0.294784,1.019571,0.986953,1.052190,0.00466009,-0.00001151,0.00002538,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
9,7,9.085206,2.038404,2.275285,0.272933,0.001458,0.003000,0.917138,5.0000,-0.007344,0.091714,0.328437,0.047856,0.210075,1.014357,0.990429,1.038284,0.00442112,-0.00001498,-0.00002904,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
10,0,0.438807,-2.421609,-2.516436,0.106303,-0.001024,-0.002175,0.680665,4.0000,-0.399573,0.068066,0.066951,0.035853,0.067509,1.010756,0.992829,1.028682,0.00155307,0.00001044,0.00002121,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
10,1,1.215546,-2.158435,2.055716,0.116409,-0.001736,0.002338,0.901057,4.0000,-0.192454,0.090106,0.205031,0.046185,0.147568,1.013856,0.990763,1.036948,0.00171850,0.00001788,-0.00002277,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
10,2,6.297115,2.356399,-2.397575,0.302816,0.001740,-0.003171,1.107251,6.0000,-0.071133,0.110725,0.285911,0.057118,0.198318,1.017135,0.988576,1.045694,0.00443833,-0.00001704,0.00003080,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
10,3,6.099619,2.162230,1.990586,0.293305,0.002919,0.002898,1.282751,6.0000,0.121504,0.128275,0.414336,0.070720,0.271306,1.021216,0.985856,1.056576,0.00433630,-0.00002863,-0.00002817,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
10,4,5.241567,-2.562122,-2.598936,0.104187,-0.001591,-0.002503,1.054338,6.0000,-0.122023,0.105434,0.251984,0.040793,0.178709,1.012238,0.991841,1.032634,0.00143257,0.00001549,0.00002428,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
10,5,5.359383,-2.327928,1.973940,0.116532,-0.002806,0.002218,1.273841,6.0000,-0.273544,0.127384,0.150971,0.035768,0.139177,1.010730,0.992846,1.028615,0.00154717,0.00002742,-0.00002149,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
10,6,10.960502,2.422628,-2.092577,0.310464,0.001126,-0.002782,0.754315,4.0000,0.390346,0.075431,0.593564,0.071885,0.334498,1.021566,0.985623,1.057508,0.00443003,-0.00001138,0.00002709,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
10,7,10.505895,2.045490,2.290759,0.294791,0.001371,0.003177,0.863927,4.0000,0.111677,0.086393,0.407785,0.052775,0.247089,1.015832,0.989445,1.042220,0.00420411,-0.00001417,-0.00003095,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
11,0,0.989178,-2.426627,-2.527583,0.113646,-0.000982,-0.002276,0.657148,3.0000,-0.491024,0.065715,0.005984,0.035853,0.035850,1.010756,0.992829,1.028682,0.00147263,0.00001004,0.00002229,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
11,1,1.818103,-2.166854,2.067713,0.124392,-0.001630,0.002454,0.849973,4.0000,-0.192454,0.084997,0.205031,0.048625,0.145014,1.014588,0.990275,1.038900,0.00162803,0.00001684,-0.00002399,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
11,2,7.866242,2.365278,-2.413882,0.324313,0.001782,-0.003341,1.021025,5.0000,-0.060315,0.102103,0.293123,0.060587,0.197613,1.018176,0.987883,1.048470,0.00422703,-0.00001776,0.00003261,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
11,3,7.619704,2.177109,2.005481,0.314237,0.002987,0.003048,1.167554,6.0000,0.121504,0.116755,0.414336,0.075530,0.265546,1.022659,0.984894,1.060424,0.00413694,-0.00002976,-0.00002979,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
11,4,5.780781,-2.570286,-2.611825,0.111294,-0.001645,-0.002643,0.984157,5.0000,-0.174713,0.098416,0.216858,0.043678,0.157637,1.013103,0.991264,1.034942,0.00135129,0.00001633,0.00002578,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
